date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:02	194533/194533	---M--	200	added ('OK')	image/jpeg	etag:%22bf3ddf3e94eed91:0%22	https://mahaegram.co.in/assets/img/e-gramsoft.jpg	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/img/e-gramsoft.jpg	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:03	199784/199784	---M--	200	added ('OK')	image/jpeg	etag:%22dcdcbd3e94eed91:0%22	https://mahaegram.co.in/assets/img/Digital-seva.jpg	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/img/Digital-seva.jpg	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:03	32794/32794	---M--	200	added ('OK')	image/jpeg	etag:%22c970943f94eed91:0%22	https://mahaegram.co.in/assets/img/gramvikas.jpg	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/img/gramvikas.jpg	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:04	162679/162679	---M--	200	added ('OK')	image/png	etag:%22e3f5654394eed91:0%22	https://mahaegram.co.in/assets/img/mnrega-logo.png	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/img/mnrega-logo.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:04	156887/156887	---M--	200	added ('OK')	image/png	etag:%223f1a814a94eed91:0%22	https://mahaegram.co.in/assets/img/swacha_bharta_mission.png	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/img/swacha_bharta_mission.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:04	44242/44242	---M--	200	added ('OK')	image/png	etag:%2210f3e4794eed91:0%22	https://mahaegram.co.in/assets/img/PMAY.png	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/img/PMAY.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:05	555589/555589	---M--	200	added ('OK')	image/jpeg	etag:%22803496d261bbd71:0%22	https://mh.gov2egov.com//PANINDIADOCS/GPSabhaPhoto/GramSabha_180205.jpg	C:/My%20Web%20Sites/new/mh.gov2egov.com/PANINDIADOCS/GPSabhaPhoto/GramSabha_180205.jpg	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:06	164821/164821	---M--	200	added ('OK')	image/jpeg	etag:%22803496d261bbd71:0%22	https://mh.gov2egov.com//PANINDIADOCS/GPSabhaPhoto/MahilaSabha_180205.jpeg	C:/My%20Web%20Sites/new/mh.gov2egov.com/PANINDIADOCS/GPSabhaPhoto/MahilaSabha_180205.jpg	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:06	871436/871436	---M--	200	added ('OK')	image/jpeg	etag:%22803496d261bbd71:0%22	https://mh.gov2egov.com//PANINDIADOCS/GPSabhaPhoto/MasikSabha_180205.jpg	C:/My%20Web%20Sites/new/mh.gov2egov.com/PANINDIADOCS/GPSabhaPhoto/MasikSabha_180205.jpg	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:07	211029/211029	---M--	200	added ('OK')	image/jpeg	etag:%2206de571f48d81:0%22	https://mh.gov2egov.com//PANINDIADOCS/GPSabhaPhoto/PrabhagSabha_180205.jpeg	C:/My%20Web%20Sites/new/mh.gov2egov.com/PANINDIADOCS/GPSabhaPhoto/PrabhagSabha_180205.jpg	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
